Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung;VerwendungCO2;Einfuhr;EinfuhrCO2;Ausfuhr;AusfuhrCO2
2023;Mecklenburg-Vorpommern;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);3,99;4,27;0,14;0,15;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Blends;0,11;0,21;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;4,10;4,48;0,14;0,15;N/A;N/A
2023;Mecklenburg-Vorpommern;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;0,28;0,40;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);7,16;7,75;0,14;0,15;N/A;N/A
2023;Mecklenburg-Vorpommern;;Insgesamt;Blends;12,06;23,57;N/A;N/A;N/A;N/A
2023;Mecklenburg-Vorpommern;;Insgesamt;Insgesamt;19,22;31,32;0,14;0,15;N/A;N/A
2023;Niedersachsen;WZ08-20;Herstellung von chemischen Erzeugnissen;Blends;0,18;0,39;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-24;Metallerzeugung und -bearbeitung;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,96;2,12;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-24;Metallerzeugung und -bearbeitung;Blends;0,83;1,36;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-24;Metallerzeugung und -bearbeitung;Insgesamt;1,79;3,47;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);3,14;4,01;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-28;Maschinenbau;Blends;12,48;20,11;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-28;Maschinenbau;Insgesamt;15,62;24,12;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);3,57;4,40;N/A;N/A;N/A;N/A
2023;Niedersachsen;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;18,00;27,94;N/A;N/A;N/A;N/A
